sequence,repeat,cutoff,candidate_count,elapsed_ns,elapsed_ms
1956,3,50,50,1011278037,1011.278037
1957,3,10,10,219060708,219.060708
1958,3,30,30,657025367,657.025367
1959,3,50,50,1098167513,1098.167513
1960,3,20,20,440779661,440.779661
1961,3,20,20,383347073,383.347073
1962,3,50,50,978999994,978.999994
1963,3,10,10,183637830,183.637830
1964,3,30,30,587206222,587.206222
1965,3,10,10,187163084,187.163084
1966,3,20,20,407370029,407.370029
1967,3,30,30,603549419,603.549419
1968,3,50,50,1000280554,1000.280554
1969,3,20,20,409589705,409.589705
1970,3,30,30,603158750,603.158750
1971,3,10,10,191027129,191.027129
1972,3,50,50,1076275022,1076.275022
1973,3,20,20,414505859,414.505859
1974,3,10,10,188070991,188.070991
1975,3,50,50,1025240490,1025.240490
1976,3,30,30,613201255,613.201255
1977,3,30,30,579171271,579.171271
1978,3,50,50,1005019492,1005.019492
1979,3,10,10,188807893,188.807893
1980,3,20,20,388057858,388.057858
1981,3,20,20,428558135,428.558135
1982,3,30,30,644312901,644.312901
1983,3,50,50,1073928153,1073.928153
1984,3,10,10,205765782,205.765782
1985,3,30,30,608767552,608.767552
1986,3,20,20,410624581,410.624581
1987,3,50,50,1009384032,1009.384032
1988,3,10,10,209656347,209.656347
1989,3,10,10,190069248,190.069248
1990,3,20,20,383360948,383.360948
1991,3,30,30,571997437,571.997437
1992,3,50,50,990186177,990.186177
1993,3,20,20,439814884,439.814884
1994,3,30,30,650269702,650.269702
1995,3,10,10,219623210,219.623210
1996,3,50,50,1080410857,1080.410857
1997,3,50,50,1098661190,1098.661190
1998,3,30,30,658544314,658.544314
1999,3,10,10,195408933,195.408933
2000,3,20,20,439505909,439.505909
2001,3,20,20,410150924,410.150924
2002,3,50,50,1094867356,1094.867356
2003,3,10,10,190438685,190.438685
2004,3,30,30,646193053,646.193053
2005,3,20,20,389133701,389.133701
2006,3,10,10,177690175,177.690175
2007,3,50,50,1003923906,1003.923906
2008,3,30,30,607091942,607.091942
2009,3,10,10,185482466,185.482466
2010,3,20,20,359086967,359.086967
2011,3,30,30,603438676,603.438676
2012,3,50,50,999537072,999.537072
2013,3,20,20,409657521,409.657521
2014,3,50,50,1029408403,1029.408403
2015,3,10,10,209278212,209.278212
2016,3,30,30,608658724,608.658724
2017,3,30,30,607658181,607.658181
2018,3,50,50,1005211689,1005.211689
2019,3,10,10,188282509,188.282509
2020,3,20,20,381556434,381.556434
2021,3,10,10,187071940,187.071940
2022,3,20,20,376123544,376.123544
2023,3,30,30,563440628,563.440628
2024,3,50,50,996846734,996.846734
2025,3,30,30,610929596,610.929596
2026,3,20,20,411308511,411.308511
2027,3,50,50,1011878381,1011.878381
2028,3,10,10,209367751,209.367751
2029,3,10,10,196123703,196.123703
2030,3,30,30,613923485,613.923485
2031,3,50,50,1026796974,1026.796974
2032,3,20,20,396582230,396.582230
2033,3,10,10,189567769,189.567769
2034,3,50,50,995881938,995.881938
2035,3,30,30,569679431,569.679431
2036,3,20,20,380204949,380.204949
2037,3,20,20,444856062,444.856062
2038,3,10,10,222600006,222.600006
2039,3,50,50,1098217634,1098.217634
2040,3,30,30,663656063,663.656063
2041,3,20,20,395913736,395.913736
2042,3,50,50,1008585644,1008.585644
2043,3,10,10,196260931,196.260931
2044,3,30,30,608570814,608.570814
2045,3,30,30,648524006,648.524006
2046,3,50,50,1097274830,1097.274830
2047,3,10,10,196470648,196.470648
2048,3,20,20,407369853,407.369853
2049,3,30,30,607375504,607.375504
2050,3,20,20,377803518,377.803518
2051,3,50,50,1004833148,1004.833148
2052,3,10,10,188862245,188.862245
2053,3,10,10,196683140,196.683140
2054,3,50,50,996376791,996.376791
2055,3,20,20,395741590,395.741590
2056,3,30,30,602962912,602.962912
2057,3,30,30,647938157,647.938157
2058,3,20,20,428600128,428.600128
2059,3,10,10,218574765,218.574765
2060,3,50,50,1067218696,1067.218696
2061,3,30,30,649442701,649.442701
2062,3,10,10,216590073,216.590073
2063,3,20,20,441643457,441.643457
2064,3,50,50,1118334060,1118.334060
2065,3,20,20,381650409,381.650409
2066,3,30,30,569995055,569.995055
2067,3,50,50,979364017,979.364017
2068,3,10,10,178898878,178.898878
2069,3,20,20,381909179,381.909179
2070,3,10,10,165382315,165.382315
2071,3,30,30,592400482,592.400482
2072,3,50,50,996194745,996.194745
2073,3,10,10,185839058,185.839058
2074,3,30,30,612199763,612.199763
2075,3,20,20,373301105,373.301105
2076,3,50,50,1021867227,1021.867227
2077,3,20,20,439956827,439.956827
2078,3,10,10,219116960,219.116960
2079,3,50,50,1093744231,1093.744231
2080,3,30,30,658067164,658.067164
2081,3,20,20,428042954,428.042954
2082,3,30,30,644499825,644.499825
2083,3,10,10,210615508,210.615508
2084,3,50,50,1097312906,1097.312906
2085,3,50,50,1027120117,1027.120117
2086,3,30,30,613666364,613.666364
2087,3,10,10,186091635,186.091635
2088,3,20,20,393065900,393.065900
2089,3,30,30,537111127,537.111127
2090,3,50,50,1075503404,1075.503404
2091,3,10,10,177470587,177.470587
2092,3,20,20,360695423,360.695423
2093,3,20,20,409281043,409.281043
2094,3,10,10,195768269,195.768269
